comentario,red_social,filial,comunidad,sentimiento,eje_tematico
El servicio de energía ha sido muy inestable esta semana.,Facebook,EPM,Medellín Urbana,Negativo,Continuidad del servicio
Agradezco la pronta atención cuando se dañó el contador.,Instagram,EPM,Itagüí,Positivo,Atención al usuario
"No avisaron del corte de agua, eso es muy molesto.",Twitter,Aguas EPM,Envigado,Negativo,Comunicación
La factura llegó con cobros que no entiendo.,Facebook,CHEC,Manizales Rural,Negativo,Facturación
Me gustó la campaña de reciclaje que promovieron.,Instagram,EDEQ,Armenia,Positivo,Educación ambiental
El gas natural funciona excelente en mi casa.,Twitter,EPM,Bello,Positivo,Calidad del servicio
Deberían comunicar mejor los mantenimientos programados.,Facebook,ESSA,Bucaramanga,Negativo,Comunicación
"Excelente atención telefónica, muy clara y amable.",Instagram,EPM,Sabaneta,Positivo,Atención al usuario
Faltó información sobre el nuevo servicio digital.,Twitter,CHEC,Pereira,Negativo,Transformación digital
Nos sentimos escuchados por la empresa este mes.,Facebook,EPM,Medellín Urbana,Positivo,Participación ciudadana
